Country,HE_2000,LE_2000,HE_2005,LE_2005,HE_2010,LE_2010,HE_2015,LE_2015,HE_2020,LE_2020,HE_2021,LE_2021,HE_2022,LE_2022
Sierra Leone,23.31365204,45.05,32.05826187,48.237,43.83041763,53.693,118.5509491,57.189,43.20675278,59.763,52.19200668,60.062,52.19200668,53.999
Singapore,792.4259644,77.95121951,892.4286499,79.9902439,1487.379028,81.54146341,2279.01709,82.74390244,3536.996094,84.46585366,1797.649365,83.44146341,1797.649365,81.68902439
Sint Maarten,0.0,74.514,0.0,75.542,0.0,75.132,0.0,76.954,0.0,74.584,0.0,73.972,0.0,75.11633333
Slovak Republic,203.5062714,73.05121951,601.3132324,73.90487805,1296.542847,75.11219512,1108.878174,76.56341463,1393.624268,76.86585366,920.7729584,74.71463415,920.7729584,75.03536585
Slovenia,796.6470337,75.41219512,1449.189209,77.61219512,2017.146606,79.42195122,1775.86084,80.77560976,2417.20874,80.53170732,2670.835449,80.87560976,1854.481313,79.10487805
Solomon Islands,47.13489151,67.225,89.11562347,67.936,73.04418945,68.732,94.91165924,69.583,99.12821198,70.199,80.66691513,70.348,80.66691513,69.00383333
Somalia,0.0,50.66,0.0,50.661,0.0,50.563,0.0,54.857,0.0,55.967,0.0,55.28,0.0,52.998
South Africa,237.8283234,58.47,404.3996887,53.98,628.1286011,58.899,499.3633423,63.95,489.6435852,65.252,451.8727081,62.341,451.8727081,60.482
South Sudan,33.23439407,46.028,33.23439407,51.545,33.23439407,54.812,33.23439407,55.566,33.23439407,55.48,33.23439407,54.975,33.23439407,53.06766667
Spain,1005.283997,78.96585366,2060.321777,80.17073171,2789.637207,81.62682927,2349.119873,82.83170732,2900.645264,82.33170732,2221.001624,83.17804878,2221.001624,81.51747967
Sri Lanka,43.71977615,70.355,56.92808914,72.118,106.1439972,73.215,146.9503174,74.927,151.0559998,76.393,100.9596359,76.399,100.9596359,73.90116667
St. Kitts and Nevis,444.5689087,69.781,553.5333252,71.362,856.6733398,71.27,1026.508057,70.763,1104.942139,71.627,797.2451538,71.682,797.2451538,71.08083333
St. Lucia,284.2585754,70.768,333.5027466,72.245,438.1661987,72.72,471.6242981,73.138,607.7525024,73.416,427.0608643,71.111,427.0608643,72.233
St. Martin,0.0,76.663,0.0,77.555,0.0,78.406,0.0,79.309,0.0,80.149,0.0,80.379,0.0,78.7435
St. Vincent and the Grenadines,149.5702057,71.377,198.3499756,73.516,283.5976868,74.718,303.9425354,74.407,401.6103516,72.126,267.414151,69.629,267.414151,72.62883333
Sudan,15.23140526,58.319,40.8061142,57.279,82.82209778,63.016,122.0275345,64.659,23.39452934,65.614,56.85633621,65.267,56.85633621,62.359
Suriname,166.0800934,65.508,243.1322479,67.002,402.4092407,69.894,517.3849487,70.8,459.5627747,72.561,357.7138611,70.274,357.7138611,69.33983333
Sweden,2173.193848,79.64390244,3547.633301,80.54634146,4416.145508,81.45121951,5598.681641,82.20487805,6027.967285,82.35609756,6914.905273,83.15609756,4779.754476,81.5597561
Switzerland,3559.819824,79.6804878,5673.94043,81.23658537,7705.175781,82.24634146,9382.791016,82.89756098,10309.7627,83.0,7326.297949,83.85121951,7326.297949,82.15203252
Syrian Arab Republic,54.56182098,70.764,62.79922867,72.769,88.68951416,73.881,68.68352127,65.124,68.68352127,72.14,68.68352127,72.063,68.68352127,71.1235
Tajikistan,5.91732073,63.26,17.3736248,66.514,42.45412064,67.742,63.63990402,69.306,69.69489288,67.994,39.81597261,71.594,39.81597261,67.735
Tanzania,12.25793076,52.362,27.53238869,56.299,36.89682007,60.105,32.90985107,64.651,39.30883408,66.408,29.78116493,66.201,29.78116493,61.00433333
Thailand,62.15243912,72.316,90.88136292,73.82,169.3820038,76.131,219.9191132,77.717,305.0879211,79.274,169.484568,78.715,169.484568,76.32883333
Timor-Leste,74.9723754,58.568,25.16798592,62.328,52.4311409,65.304,101.4206314,67.137,120.8697434,68.475,74.9723754,67.737,74.9723754,64.92483333
Togo,11.22799778,54.742,17.79439926,55.962,31.36204338,57.304,37.41205215,59.396,53.49979782,61.035,30.25925808,61.619,30.25925808,58.343
Tonga,53.43399048,68.978,108.3314667,69.768,166.6062164,70.323,169.9488831,70.607,248.0395813,70.928,149.2720276,70.986,149.2720276,70.265
Trinidad and Tobago,263.6797485,69.102,523.7509155,71.308,811.3280029,72.725,1039.057495,74.503,1030.712402,74.406,733.7057129,72.971,733.7057129,72.5025
Tunisia,109.5732346,73.69,167.6730957,74.764,237.9020844,75.421,247.3407745,75.692,221.6846771,75.292,196.8347733,73.772,196.8347733,74.77183333
Turkiye,196.7817993,71.861,360.6524048,73.534,532.928833,75.069,446.763031,76.646,395.2404175,75.85,386.4732971,76.032,386.4732971,74.832
Turkmenistan,75.74879456,65.026,335.8794556,66.068,214.1880188,68.293,390.9945068,68.782,483.7401123,68.687,300.1101776,69.264,300.1101776,67.68666667
Turks and Caicos Islands,0.0,73.575,0.0,77.148,0.0,76.243,0.0,76.912,0.0,75.001,0.0,74.587,0.0,75.57766667
Tuvalu,349.9498291,63.499,244.1253967,63.836,476.2854919,63.978,457.8132629,64.06,1071.309814,64.382,519.896759,64.547,519.896759,64.05033333
Uganda,16.41400146,48.342,25.88375473,52.976,51.96447372,57.055,40.15630341,61.086,33.90138245,62.851,33.66398315,62.705,33.66398315,57.5025
Ukraine,35.1017952,67.67560976,116.2770157,67.95682927,202.8239746,70.26536585,157.3640595,71.1895122,269.7290039,71.18512195,156.2591698,69.64780488,156.2591698,69.65337398
United Arab Emirates,753.0755005,74.38,978.9043579,76.683,1325.203247,78.334,1439.300537,79.223,2191.813632,78.946,1337.659455,78.71,1337.659455,77.71266667
United Kingdom,2033.170898,77.74146341,3547.071777,79.04878049,3965.86499,80.40243902,4446.996094,80.95609756,4926.631348,80.35121951,5634.182129,80.7,4092.319539,79.86666667
United States,4532.767578,76.63658537,6402.029297,77.48780488,7832.266602,78.54146341,9243.621094,78.6902439,11702.40918,76.9804878,7942.61875,76.32926829,7942.61875,77.44430894
Uruguay,693.6792603,75.025,441.0013428,76.194,1032.657959,76.858,1410.321533,77.483,1429.512695,78.43,1001.434558,75.436,1001.434558,76.571
Uzbekistan,35.4090271,65.724,32.24778748,67.49,92.13219452,69.235,131.7484283,70.475,120.5044403,70.331,82.40837555,70.862,82.40837555,69.0195
Vanuatu,46.8312645,68.966,59.98478699,69.39,96.36509705,69.617,114.2602081,69.513,114.2296219,70.299,86.33419571,70.449,86.33419571,69.70566667
Venezuela,351.7077332,72.478,330.3459473,72.782,936.8535156,72.89,490.2226257,73.006,142.4585877,71.095,450.3176819,70.554,450.3176819,72.13416667
Vietnam,19.13446808,72.462,35.32845306,73.271,79.13631439,73.513,118.4838181,73.876,166.231842,75.378,83.66297912,73.618,83.66297912,73.68633333
Virgin Islands,0.0,76.6195122,0.0,77.42195122,0.0,77.86585366,0.0,79.01707317,0.0,79.8195122,0.0,80.06829268,0.0,78.46869919
West Bank and Gaza,0.0,70.388,0.0,72.067,0.0,73.004,0.0,74.406,0.0,74.403,0.0,73.473,0.0,72.95683333
Yemen,24.13679314,62.588,40.90756226,65.543,64.44327545,67.28,63.30020905,65.873,48.19695998,64.65,48.19695998,63.753,48.19695998,64.94783333
Zambia,26.03649139,45.231,49.42955017,50.659,54.64538956,56.799,57.99055099,61.208,53.75365829,62.38,48.37112808,61.223,48.37112808,56.25
Zimbabwe,84.67466609,44.686,84.67466609,44.768,98.24945831,50.652,105.0980301,59.591,50.67650986,61.124,84.67466609,59.253,84.67466609,53.34566667
